Student,Mentor,Subject,Hours
22,37,History - Year 12,1.0
20,31,Physical Education - Year 5,1.0
68,5,Economics - Year 11,1.0
23,32,English - Year 12,2.0
46,19,English - Year 4,3.0
44,31,Physical Education - Year 11,2.0
8,36,Literature - Year 9,1.0
23,37,History - Year 12,1.0
28,17,Maths - Year 12,2.0
70,36,Literature - Year 9,2.0
77,11,Foreign Language - Year 5,3.0
5,1,Physical Education - Year 5,3.0
79,0,Foreign Language - Year 7,3.0
67,8,Computer Science - Year 8,3.0
26,6,Geography - Year 4,2.0
42,36,Literature - Year 9,3.0
52,36,Foreign Language - Year 7,1.0
39,31,Physical Education - Year 10,1.0
45,14,Geography - Year 4,3.0
65,35,Computer Science - Year 12,1.0
55,20,Geography - Year 4,3.0
70,31,Physical Education - Year 9,1.0
2,17,Maths - Year 7,2.0
71,38,Art - Year 4,3.0
63,7,English - Year 12,1.0
69,11,Foreign Language - Year 5,2.0
59,16,Economics - Year 11,3.0
13,1,Physical Education - Year 6,3.0
72,0,Foreign Language - Year 5,3.0
53,32,English - Year 4,2.0
31,18,Economics - Year 11,2.0
44,22,Maths - Year 11,1.0
0,4,Literature - Year 9,1.0
74,39,Foreign Language - Year 6,1.0
21,11,Foreign Language - Year 7,2.0
15,29,Science - Year 10,3.0
40,16,Science - Year 10,1.0
58,31,Physical Education - Year 11,1.0
11,5,Economics - Year 11,3.0
34,11,Foreign Language - Year 5,3.0
51,32,English - Year 12,2.0
63,37,History - Year 12,2.0
47,2,Maths - Year 6,1.0
1,34,Maths - Year 10,3.0
25,23,Physical Education - Year 12,2.0
9,35,Computer Science - Year 8,1.0
36,29,Science - Year 10,2.0
78,36,Literature - Year 9,3.0
