Student,Mentor,Subject,Hours
6,37,History - Year 12,1.0
33,34,Maths - Year 12,2.0
1,1,Physical Education - Year 8,2.0
63,9,Art - Year 4,3.0
26,38,Art - Year 4,2.0
7,5,Economics - Year 11,1.0
29,21,Maths - Year 8,2.0
66,35,Computer Science - Year 8,2.0
27,1,Physical Education - Year 8,2.0
2,37,History - Year 5,1.0
76,7,English - Year 11,1.0
62,16,Science - Year 10,3.0
52,39,Foreign Language - Year 7,1.0
40,37,History - Year 8,2.0
6,17,Maths - Year 12,1.0
13,36,Foreign Language - Year 5,1.0
13,15,Physical Education - Year 5,1.0
26,20,Geography - Year 4,3.0
28,34,Maths - Year 12,1.0
40,1,Physical Education - Year 8,2.0
18,5,Economics - Year 11,1.0
30,14,Geography - Year 4,3.0
71,16,Science - Year 10,1.0
67,18,Foreign Language - Year 6,2.0
42,2,Maths - Year 6,1.0
68,19,English - Year 8,3.0
37,17,Maths - Year 4,3.0
21,34,Maths - Year 12,3.0
6,8,Computer Science - Year 12,3.0
29,29,Computer Science - Year 8,2.0
31,0,Foreign Language - Year 7,1.0
72,34,Maths - Year 11,1.0
12,25,Geography - Year 4,1.0
74,32,English - Year 4,3.0
64,0,Foreign Language - Year 5,3.0
74,38,Art - Year 4,1.0
32,36,Literature - Year 9,1.0
78,24,Computer Science - Year 12,2.0
55,29,Science - Year 4,3.0
7,26,Maths - Year 11,2.0
10,32,English - Year 9,3.0
