Student,Mentor,Subject,Hours
68,5,Economics - Year 11,3.0
1,16,Science - Year 10,1.0
7,0,Foreign Language - Year 7,3.0
34,11,Foreign Language - Year 6,1.0
34,31,Physical Education - Year 6,3.0
17,17,Maths - Year 12,3.0
23,0,Foreign Language - Year 5,2.0
4,11,Foreign Language - Year 5,3.0
49,24,Computer Science - Year 8,2.0
36,11,Foreign Language - Year 6,1.0
42,7,English - Year 12,1.0
20,1,Physical Education - Year 6,1.0
0,32,English - Year 12,3.0
74,1,Physical Education - Year 6,2.0
37,11,Foreign Language - Year 6,1.0
35,20,Geography - Year 4,3.0
70,36,Foreign Language - Year 7,2.0
3,37,History - Year 11,1.0
48,36,Literature - Year 9,2.0
5,29,Science - Year 10,3.0
32,32,English - Year 11,3.0
76,29,Science - Year 10,2.0
47,6,Geography - Year 4,1.0
66,36,Literature - Year 9,2.0
33,9,Art - Year 4,2.0
39,36,Literature - Year 9,3.0
44,35,Computer Science - Year 8,3.0
35,16,Science - Year 4,3.0
49,1,Physical Education - Year 8,3.0
21,31,Physical Education - Year 11,1.0
35,9,Art - Year 4,2.0
39,31,Physical Education - Year 9,2.0
48,17,Maths - Year 9,1.0
58,18,Economics - Year 11,2.0
24,37,History - Year 5,3.0
38,19,English - Year 9,3.0
64,0,Foreign Language - Year 5,3.0
1,34,Maths - Year 10,1.0
46,35,Computer Science - Year 8,1.0
14,11,Foreign Language - Year 7,3.0
50,11,Foreign Language - Year 7,1.0
21,5,Economics - Year 11,1.0
51,36,Geography - Year 4,1.0
