Student,Mentor,Subject,Hours
17,28,Physical Education - Year 11,1.0
36,17,Maths - Year 6,3.0
7,32,English - Year 12,3.0
30,9,Art - Year 4,2.0
23,29,Science - Year 4,2.0
76,2,Maths - Year 7,3.0
54,16,Science - Year 4,1.0
52,6,Geography - Year 4,2.0
75,36,Foreign Language - Year 6,1.0
43,27,History - Year 8,1.0
58,20,Geography - Year 4,3.0
29,34,Maths - Year 9,3.0
36,1,Physical Education - Year 6,3.0
20,22,Maths - Year 6,3.0
50,39,Foreign Language - Year 7,1.0
67,37,History - Year 12,1.0
20,1,Physical Education - Year 6,3.0
72,36,Foreign Language - Year 7,1.0
17,5,Economics - Year 11,3.0
34,36,Literature - Year 9,2.0
44,16,Science - Year 10,1.0
1,14,Geography - Year 4,3.0
77,8,Computer Science - Year 8,3.0
3,11,Foreign Language - Year 7,2.0
56,17,Maths - Year 7,1.0
47,0,Foreign Language - Year 5,1.0
3,32,English - Year 7,2.0
12,18,Economics - Year 11,2.0
43,32,English - Year 8,1.0
79,37,History - Year 12,3.0
70,11,Foreign Language - Year 5,2.0
46,16,Science - Year 10,2.0
65,12,English - Year 11,1.0
68,7,English - Year 12,1.0
71,19,English - Year 7,2.0
41,31,Physical Education - Year 8,3.0
73,19,English - Year 12,1.0
24,31,Physical Education - Year 11,3.0
5,36,Foreign Language - Year 7,3.0
16,29,Science - Year 10,3.0
10,36,Foreign Language - Year 5,3.0
