Student,Mentor,Subject,Hours
10,1,Physical Education - Year 8,3.0
26,0,Foreign Language - Year 6,3.0
48,9,Art - Year 4,3.0
54,17,Maths - Year 11,2.0
32,29,Science - Year 4,2.0
40,19,English - Year 6,2.0
49,36,Foreign Language - Year 7,3.0
47,0,Foreign Language - Year 6,2.0
0,29,Science - Year 10,2.0
36,15,Maths - Year 10,1.0
42,37,History - Year 12,2.0
34,36,Literature - Year 9,3.0
70,36,Foreign Language - Year 7,3.0
32,9,Art - Year 4,2.0
17,16,Science - Year 10,3.0
76,32,English - Year 9,3.0
36,16,Science - Year 10,1.0
41,1,Physical Education - Year 7,3.0
19,14,Geography - Year 4,3.0
22,3,Literature - Year 9,1.0
3,17,Maths - Year 4,2.0
25,20,Geography - Year 4,2.0
75,19,English - Year 6,1.0
40,37,History - Year 6,2.0
77,3,Literature - Year 9,3.0
53,4,Literature - Year 9,2.0
37,34,Maths - Year 12,1.0
33,29,Science - Year 4,1.0
8,9,Art - Year 4,3.0
3,20,Geography - Year 4,1.0
58,18,Economics - Year 11,2.0
42,31,Physical Education - Year 12,2.0
60,11,Foreign Language - Year 7,1.0
15,12,English - Year 12,1.0
3,38,Art - Year 4,3.0
40,11,Foreign Language - Year 6,2.0
48,6,Geography - Year 4,1.0
51,36,Literature - Year 9,1.0
55,32,English - Year 8,3.0
64,7,English - Year 11,1.0
66,5,Economics - Year 11,3.0
79,39,Foreign Language - Year 5,1.0
56,35,Computer Science - Year 8,2.0
21,0,Foreign Language - Year 7,1.0
