Mentor,Subject,Group Number,Students,Total Hours
2,Economics - Year 11,5,"[59, 58]",3.0
34,Literature - Year 9,4,"[4, 8]",3.0
34,Economics - Year 11,5,"[55, 52]",3.0
35,Art - Year 4,3,"[70, 13]",3.0
10,Physical Education - Year 5,5,"[57, 32]",2.0
12,English - Year 11,1,"[59, 73]",3.0
15,Physical Education - Year 11,2,"[73, 76]",3.0
21,Maths - Year 12,2,"[50, 33]",2.0
22,Maths - Year 11,4,"[59, 22]",3.0
23,Physical Education - Year 12,1,"[5, 33]",2.0
24,Computer Science - Year 12,1,"[42, 67]",2.0
26,Maths - Year 5,2,"[32, 10]",2.0
27,History - Year 9,1,"[68, 78]",3.0
28,Maths - Year 11,4,"[76, 58]",3.0
28,Maths - Year 6,4,"[63, 23]",2.0
31,Physical Education - Year 6,2,"[43, 18]",3.0
