Student,Mentor,Subject,Hours
40,17,Maths - Year 9,2.0
74,29,Science - Year 4,3.0
68,5,Economics - Year 11,1.0
63,9,Art - Year 4,3.0
56,19,English - Year 10,3.0
44,17,Maths - Year 12,2.0
24,16,Science - Year 10,3.0
55,11,Foreign Language - Year 7,2.0
59,37,History - Year 7,2.0
55,32,English - Year 7,3.0
19,18,Economics - Year 11,2.0
79,6,Geography - Year 4,2.0
24,32,English - Year 10,2.0
64,3,Literature - Year 9,3.0
69,5,Economics - Year 11,3.0
49,1,Physical Education - Year 7,3.0
5,0,Foreign Language - Year 6,3.0
48,32,English - Year 11,1.0
10,15,Physical Education - Year 10,1.0
11,25,Geography - Year 4,3.0
31,0,Foreign Language - Year 6,2.0
51,7,English - Year 12,1.0
46,37,History - Year 11,2.0
16,9,Art - Year 4,2.0
37,16,Science - Year 10,1.0
61,29,Science - Year 4,1.0
76,38,Art - Year 4,2.0
45,8,Computer Science - Year 8,2.0
42,11,Foreign Language - Year 5,2.0
21,11,Foreign Language - Year 7,3.0
40,36,Literature - Year 9,2.0
68,34,Maths - Year 11,3.0
17,29,Science - Year 4,1.0
47,39,Foreign Language - Year 7,1.0
12,36,Literature - Year 9,3.0
60,36,Literature - Year 9,2.0
39,35,Computer Science - Year 8,2.0
22,4,Literature - Year 9,2.0
74,20,Geography - Year 4,3.0
66,11,Foreign Language - Year 7,3.0
42,2,Maths - Year 5,1.0
15,36,Literature - Year 9,3.0
78,1,Physical Education - Year 6,3.0
