Mentor,Subject,Group Number,Students,Total Hours
2,Economics - Year 11,2,"[34, 21]",3.0
34,Maths - Year 10,3,"[79, 75]",2.0
34,Maths - Year 10,5,"[32, 78]",2.0
34,Literature - Year 9,4,"[54, 38]",3.0
6,Geography - Year 4,5,"[58, 4]",2.0
8,Computer Science - Year 8,5,"[0, 71]",2.0
10,Physical Education - Year 6,5,"[41, 46]",2.0
12,English - Year 10,2,"[78, 32]",2.0
15,Maths - Year 4,1,"[52, 11]",2.0
15,Maths - Year 4,4,"[65, 4]",2.0
21,Maths - Year 4,2,"[49, 19]",2.0
22,Maths - Year 11,4,"[57, 30]",3.0
23,Physical Education - Year 6,5,"[59, 16]",2.0
26,Maths - Year 8,4,"[60, 71]",2.0
27,History - Year 11,1,"[30, 57]",3.0
28,Maths - Year 7,4,"[68, 23]",2.0
28,Maths - Year 6,5,"[47, 59]",3.0
31,Physical Education - Year 9,3,"[18, 37]",2.0
31,Physical Education - Year 5,3,"[39, 63]",2.0
