Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 6,3,"[19, 33]",3.0
34,Maths - Year 11,4,"[34, 64]",2.0
35,Computer Science - Year 12,3,"[47, 50]",2.0
8,Computer Science - Year 8,1,"[5, 62]",3.0
10,Physical Education - Year 12,3,"[25, 16]",2.0
12,English - Year 12,5,"[47, 0]",2.0
15,Physical Education - Year 8,1,"[4, 17]",3.0
24,Computer Science - Year 12,4,"[77, 16]",2.0
26,Maths - Year 12,3,"[6, 77]",2.0
27,History - Year 5,3,"[13, 11]",3.0
28,Physical Education - Year 6,1,"[31, 32]",3.0
28,Physical Education - Year 7,2,"[74, 9]",2.0
31,Computer Science - Year 8,3,"[43, 3]",3.0
31,Physical Education - Year 5,5,"[29, 41]",3.0
