Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 7,2,"[27, 38]",2.0
34,Maths - Year 12,1,"[52, 75]",3.0
34,Literature - Year 9,1,"[35, 7]",3.0
35,Computer Science - Year 12,2,"[19, 4]",3.0
10,Physical Education - Year 6,2,"[68, 10]",2.0
12,English - Year 7,5,"[74, 2]",3.0
15,Physical Education - Year 10,5,"[32, 29]",3.0
21,Maths - Year 11,1,"[48, 18]",2.0
22,Science - Year 10,2,"[21, 49]",2.0
26,Maths - Year 9,4,"[34, 50]",2.0
27,History - Year 10,3,"[78, 49]",2.0
28,Physical Education - Year 9,3,"[76, 34]",3.0
28,Maths - Year 6,3,"[9, 10]",2.0
31,Physical Education - Year 10,2,"[15, 3]",3.0
31,Physical Education - Year 10,3,"[1, 49]",3.0
