Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 6,2,"[67, 1]",3.0
34,Maths - Year 12,1,"[44, 14]",3.0
34,Maths - Year 9,3,"[41, 19]",2.0
34,Maths - Year 9,4,"[39, 68]",2.0
35,Art - Year 4,5,"[33, 21]",3.0
10,Physical Education - Year 7,3,"[70, 56]",2.0
12,English - Year 7,3,"[74, 70]",3.0
15,Maths - Year 11,5,"[54, 59]",2.0
15,Physical Education - Year 11,1,"[27, 49]",2.0
21,Maths - Year 11,5,"[18, 28]",2.0
22,Maths - Year 11,2,"[49, 20]",3.0
23,Physical Education - Year 9,2,"[68, 4]",2.0
24,Computer Science - Year 8,3,"[12, 25]",2.0
26,Maths - Year 7,2,"[70, 57]",2.0
27,History - Year 8,5,"[17, 32]",3.0
28,Physical Education - Year 7,5,"[45, 74]",2.0
28,Maths - Year 4,5,"[61, 48]",3.0
31,Physical Education - Year 11,1,"[54, 28]",2.0
31,Economics - Year 11,2,"[66, 49]",2.0
31,Economics - Year 11,5,"[23, 59]",2.0
