Student,Mentor,Subject,Hours
0,35,Computer Science - Year 12,3.0
64,9,Art - Year 4,1.0
71,34,Maths - Year 9,2.0
33,16,Science - Year 10,3.0
13,5,Economics - Year 11,1.0
68,14,Geography - Year 4,3.0
51,20,Geography - Year 4,1.0
36,17,Maths - Year 4,3.0
35,25,Geography - Year 4,3.0
38,9,Art - Year 4,1.0
51,38,Art - Year 4,2.0
7,34,Maths - Year 12,3.0
8,0,Foreign Language - Year 6,1.0
70,36,Literature - Year 9,3.0
21,9,Art - Year 4,3.0
11,29,Computer Science - Year 12,1.0
27,36,Literature - Year 9,1.0
55,18,Economics - Year 11,2.0
38,29,Science - Year 4,2.0
42,36,Foreign Language - Year 6,2.0
4,24,Computer Science - Year 8,2.0
79,7,English - Year 12,1.0
22,32,English - Year 8,3.0
32,11,Foreign Language - Year 5,2.0
69,5,Economics - Year 11,1.0
26,11,Foreign Language - Year 5,3.0
58,2,Maths - Year 7,1.0
70,31,Physical Education - Year 9,3.0
56,0,Foreign Language - Year 6,1.0
28,8,Computer Science - Year 12,3.0
29,17,Maths - Year 12,1.0
63,16,Science - Year 10,1.0
76,31,Physical Education - Year 10,3.0
14,37,History - Year 8,2.0
71,36,Literature - Year 9,2.0
59,27,History - Year 12,1.0
43,1,Physical Education - Year 7,3.0
73,38,Art - Year 4,2.0
54,37,History - Year 7,2.0
40,19,English - Year 9,1.0
31,32,English - Year 12,1.0
20,20,Geography - Year 4,2.0
78,28,Maths - Year 10,1.0
65,19,English - Year 12,2.0
67,1,Physical Education - Year 8,1.0
53,1,Physical Education - Year 5,2.0
78,28,Physical Education - Year 10,2.0
15,36,Literature - Year 9,2.0
74,35,Computer Science - Year 8,1.0
77,32,English - Year 12,2.0
73,29,Science - Year 4,2.0
