Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 6,2,"[71, 62]",3.0
34,Maths - Year 11,2,"[7, 48]",3.0
34,Maths - Year 4,4,"[30, 68]",3.0
35,Computer Science - Year 8,5,"[33, 75]",2.0
10,Physical Education - Year 6,4,"[29, 42]",2.0
12,English - Year 6,2,"[42, 62]",3.0
15,Maths - Year 7,4,"[55, 10]",3.0
21,Maths - Year 11,1,"[45, 18]",2.0
22,Science - Year 4,5,"[30, 8]",3.0
23,Foreign Language - Year 6,4,"[21, 29]",2.0
24,Computer Science - Year 12,3,"[43, 26]",2.0
26,Maths - Year 8,2,"[64, 44]",2.0
27,History - Year 7,3,"[14, 20]",2.0
28,Maths - Year 7,2,"[14, 6]",2.0
28,Maths - Year 6,2,"[29, 42]",3.0
31,Physical Education - Year 7,2,"[20, 16]",2.0
31,Economics - Year 11,3,"[4, 45]",3.0
