Student,Mentor,Subject,Hours
58,5,Economics - Year 11,1.0
33,7,English - Year 12,1.0
31,20,Geography - Year 4,3.0
41,34,Maths - Year 12,3.0
16,16,Science - Year 10,2.0
26,31,Physical Education - Year 9,1.0
74,34,Maths - Year 9,2.0
2,16,Science - Year 4,2.0
67,4,Literature - Year 9,2.0
10,29,Science - Year 10,1.0
0,32,English - Year 11,3.0
23,36,Foreign Language - Year 6,2.0
37,31,Physical Education - Year 5,3.0
24,2,Maths - Year 6,3.0
13,37,History - Year 12,2.0
19,17,Maths - Year 4,2.0
54,17,Maths - Year 6,2.0
59,21,Maths - Year 10,2.0
31,29,Science - Year 4,3.0
24,39,Foreign Language - Year 6,1.0
27,11,Foreign Language - Year 7,3.0
71,0,Foreign Language - Year 6,3.0
47,32,English - Year 5,2.0
44,0,Foreign Language - Year 7,2.0
76,9,Art - Year 4,2.0
25,11,Foreign Language - Year 7,2.0
54,0,Foreign Language - Year 6,1.0
63,18,Foreign Language - Year 7,1.0
32,24,Computer Science - Year 12,1.0
61,0,Foreign Language - Year 5,1.0
30,5,Economics - Year 11,2.0
40,1,Physical Education - Year 7,3.0
38,23,Physical Education - Year 5,2.0
65,11,Foreign Language - Year 6,2.0
3,0,Foreign Language - Year 6,2.0
37,19,English - Year 5,3.0
6,1,Physical Education - Year 8,3.0
13,12,English - Year 12,1.0
74,36,Literature - Year 9,3.0
46,36,Literature - Year 9,3.0
28,5,Economics - Year 11,1.0
51,11,Foreign Language - Year 6,2.0
64,35,Computer Science - Year 8,2.0
72,29,Science - Year 4,1.0
15,3,Literature - Year 9,3.0
34,11,Foreign Language - Year 5,1.0
31,38,Art - Year 4,1.0
4,18,Economics - Year 11,1.0
14,38,Art - Year 4,2.0
13,8,Computer Science - Year 12,3.0
32,34,Maths - Year 12,2.0
57,32,English - Year 4,1.0
12,36,Geography - Year 4,2.0
49,37,History - Year 7,2.0
57,15,Maths - Year 4,1.0
50,14,Geography - Year 4,1.0
