Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 6,1,"[9, 47]",3.0
34,Maths - Year 9,1,"[30, 6]",3.0
34,Maths - Year 9,2,"[51, 61]",3.0
35,Art - Year 4,2,"[25, 24]",2.0
8,Computer Science - Year 8,2,"[55, 2]",3.0
10,Physical Education - Year 9,4,"[6, 51]",2.0
12,English - Year 6,5,"[26, 5]",2.0
15,Maths - Year 6,1,"[57, 40]",3.0
21,Maths - Year 8,2,"[18, 65]",2.0
22,Maths - Year 9,4,"[52, 72]",3.0
23,Foreign Language - Year 6,5,"[75, 29]",2.0
24,Computer Science - Year 12,3,"[37, 28]",2.0
26,Maths - Year 8,1,"[55, 2]",2.0
27,History - Year 9,1,"[61, 77]",3.0
28,Physical Education - Year 11,3,"[64, 31]",3.0
28,Physical Education - Year 7,1,"[35, 39]",2.0
31,Physical Education - Year 6,1,"[75, 50]",2.0
31,Physical Education - Year 10,1,"[36, 69]",2.0
