Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 8,5,"[66, 42]",3.0
34,Maths - Year 8,4,"[75, 5]",3.0
34,Maths - Year 11,2,"[17, 76]",2.0
34,Maths - Year 4,4,"[28, 63]",2.0
35,Computer Science - Year 8,1,"[75, 47]",3.0
8,Computer Science - Year 8,2,"[57, 77]",3.0
10,Physical Education - Year 6,3,"[39, 40]",2.0
12,English - Year 6,1,"[41, 8]",3.0
15,Physical Education - Year 7,4,"[37, 78]",2.0
15,Physical Education - Year 8,3,"[19, 66]",2.0
21,Maths - Year 7,3,"[78, 34]",2.0
22,Science - Year 10,2,"[13, 2]",3.0
23,Physical Education - Year 7,4,"[33, 34]",2.0
24,Computer Science - Year 12,2,"[30, 73]",2.0
26,Maths - Year 5,3,"[46, 27]",2.0
27,History - Year 8,5,"[47, 57]",3.0
28,Physical Education - Year 6,2,"[3, 43]",2.0
28,Physical Education - Year 8,5,"[47, 77]",3.0
31,Physical Education - Year 10,1,"[22, 13]",3.0
31,Physical Education - Year 10,2,"[55, 2]",3.0
