Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 5,4,"[16, 78]",3.0
34,Maths - Year 7,5,"[13, 79]",3.0
34,Economics - Year 11,3,"[72, 26]",3.0
8,Computer Science - Year 8,1,"[40, 71]",3.0
10,Physical Education - Year 5,3,"[64, 67]",2.0
12,English - Year 10,4,"[55, 76]",3.0
15,Literature - Year 9,2,"[12, 2]",2.0
15,Physical Education - Year 10,4,"[1, 60]",2.0
21,Maths - Year 8,4,"[31, 71]",2.0
22,Science - Year 4,1,"[62, 22]",3.0
23,Foreign Language - Year 5,1,"[67, 16]",2.0
26,Maths - Year 4,5,"[59, 47]",2.0
27,History - Year 8,4,"[8, 19]",3.0
28,Maths - Year 10,3,"[54, 65]",2.0
28,Maths - Year 5,1,"[67, 4]",3.0
