Student,Mentor,Subject,Hours
79,1,Physical Education - Year 7,2.0
39,9,Art - Year 4,2.0
76,29,Computer Science - Year 12,3.0
8,1,Physical Education - Year 8,2.0
46,34,Maths - Year 9,2.0
67,27,History - Year 10,1.0
55,34,Maths - Year 11,1.0
79,32,English - Year 7,3.0
69,38,Art - Year 4,3.0
77,22,Maths - Year 12,1.0
10,34,Maths - Year 12,2.0
44,11,Foreign Language - Year 7,3.0
52,5,Economics - Year 11,1.0
38,1,Physical Education - Year 7,2.0
75,9,Art - Year 4,2.0
60,9,Art - Year 4,2.0
65,32,English - Year 9,3.0
5,34,Maths - Year 11,2.0
79,36,Foreign Language - Year 7,3.0
54,17,Maths - Year 7,2.0
20,36,Foreign Language - Year 6,3.0
3,36,Foreign Language - Year 6,3.0
69,16,Science - Year 4,2.0
35,19,English - Year 12,2.0
39,14,Geography - Year 4,1.0
37,16,Science - Year 10,2.0
0,5,Economics - Year 11,1.0
4,17,Maths - Year 8,2.0
19,20,Geography - Year 4,3.0
59,9,Art - Year 4,2.0
23,37,History - Year 5,1.0
36,19,English - Year 10,1.0
76,37,History - Year 12,3.0
2,29,Science - Year 4,2.0
26,7,English - Year 12,1.0
49,5,Economics - Year 11,1.0
