Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 11,4,"[35, 5]",3.0
34,Literature - Year 9,2,"[24, 3]",3.0
34,Literature - Year 9,4,"[51, 44]",3.0
35,Art - Year 4,4,"[31, 23]",3.0
10,Physical Education - Year 9,1,"[51, 55]",2.0
12,English - Year 9,1,"[33, 3, 22]",3.0
15,Literature - Year 9,5,"[65, 55]",3.0
21,Maths - Year 8,2,"[60, 47]",2.0
22,Maths - Year 11,5,"[43, 59]",3.0
23,Physical Education - Year 9,1,"[72, 22]",2.0
26,Maths - Year 4,1,"[78, 31]",2.0
27,History - Year 9,2,"[51, 3]",3.0
28,Physical Education - Year 6,5,"[10, 19]",3.0
28,Maths - Year 9,5,"[44, 65]",2.0
31,Physical Education - Year 6,2,"[18, 27]",2.0
31,Physical Education - Year 6,3,"[56, 50]",2.0
31,Physical Education - Year 11,4,"[11, 35]",2.0
