Mentor,Subject,Group Number,Students,Total Hours
2,Economics - Year 11,5,"[78, 50]",3.0
34,Maths - Year 10,3,"[76, 12]",2.0
34,Maths - Year 10,4,"[79, 30]",2.0
34,Economics - Year 11,2,"[2, 52]",3.0
35,Computer Science - Year 8,1,"[49, 21]",2.0
10,Physical Education - Year 8,3,"[21, 64]",2.0
12,English - Year 7,5,"[46, 29]",3.0
15,Maths - Year 9,1,"[60, 61]",2.0
15,Maths - Year 9,3,"[43, 45]",2.0
21,Maths - Year 9,4,"[68, 41]",2.0
22,Maths - Year 12,5,"[35, 59]",3.0
23,Physical Education - Year 8,1,"[17, 49]",2.0
26,Maths - Year 5,2,"[77, 72]",2.0
27,History - Year 10,1,"[12, 38]",3.0
28,Maths - Year 12,2,"[36, 19]",3.0
28,Maths - Year 4,3,"[54, 5]",2.0
31,Physical Education - Year 9,1,"[61, 74]",2.0
31,Physical Education - Year 9,2,"[43, 45]",2.0
31,Physical Education - Year 9,4,"[60, 68]",2.0
