Student,Mentor,Subject,Hours
31,32,English - Year 6,3.0
4,0,Foreign Language - Year 7,1.0
1,35,Computer Science - Year 12,3.0
49,0,Foreign Language - Year 5,2.0
18,32,English - Year 12,1.0
18,34,Maths - Year 12,3.0
19,17,Maths - Year 12,3.0
21,35,Computer Science - Year 8,1.0
7,0,Foreign Language - Year 5,1.0
55,16,Science - Year 10,2.0
69,27,History - Year 9,1.0
29,9,Art - Year 4,3.0
78,16,Economics - Year 11,2.0
3,1,Physical Education - Year 7,3.0
62,1,Physical Education - Year 6,2.0
31,37,History - Year 6,2.0
26,9,Art - Year 4,2.0
63,36,Literature - Year 9,3.0
35,29,Science - Year 4,2.0
20,7,English - Year 12,1.0
69,15,Maths - Year 9,1.0
2,36,Foreign Language - Year 6,2.0
54,5,Economics - Year 11,1.0
9,20,Geography - Year 4,3.0
59,19,English - Year 4,3.0
16,9,Art - Year 4,1.0
75,29,Science - Year 10,3.0
5,32,English - Year 7,2.0
57,0,Foreign Language - Year 7,3.0
38,31,Physical Education - Year 10,3.0
13,24,Computer Science - Year 12,2.0
42,17,Maths - Year 11,1.0
45,10,Physical Education - Year 11,2.0
64,5,Economics - Year 11,3.0
1,1,Physical Education - Year 12,1.0
24,8,Computer Science - Year 12,3.0
5,36,Foreign Language - Year 7,3.0
14,36,Literature - Year 9,2.0
15,18,Economics - Year 11,2.0
41,37,History - Year 9,2.0
