Student,Mentor,Subject,Hours
19,1,Physical Education - Year 12,2.0
59,1,Physical Education - Year 6,2.0
18,1,Physical Education - Year 12,2.0
34,32,English - Year 11,1.0
69,36,Literature - Year 9,3.0
18,7,English - Year 12,1.0
72,16,Science - Year 10,2.0
39,32,English - Year 9,3.0
51,19,English - Year 10,3.0
5,32,English - Year 9,2.0
61,37,History - Year 12,1.0
28,36,Literature - Year 9,3.0
17,15,Maths - Year 12,1.0
31,24,Computer Science - Year 12,2.0
9,11,Foreign Language - Year 6,2.0
79,4,Literature - Year 9,1.0
52,11,Foreign Language - Year 5,1.0
17,31,Computer Science - Year 12,2.0
29,29,Science - Year 10,3.0
47,11,Foreign Language - Year 6,2.0
57,17,Science - Year 4,1.0
73,5,Economics - Year 11,3.0
74,36,Foreign Language - Year 6,1.0
78,39,Foreign Language - Year 5,1.0
57,17,Maths - Year 4,3.0
68,36,Literature - Year 9,3.0
67,29,Science - Year 10,2.0
77,0,Foreign Language - Year 7,3.0
56,0,Foreign Language - Year 5,2.0
21,18,Economics - Year 11,2.0
60,0,Foreign Language - Year 7,2.0
18,22,Maths - Year 12,1.0
43,0,Foreign Language - Year 7,2.0
75,16,Science - Year 10,2.0
53,31,Physical Education - Year 7,1.0
18,35,Computer Science - Year 12,2.0000005844472004
15,14,Geography - Year 4,3.0
14,37,History - Year 12,3.0
