Mentor,Subject,Group Number,Students,Total Hours
2,Maths - Year 6,5,"[74, 12]",2.0
34,Maths - Year 11,4,"[60, 31]",2.0
34,Maths - Year 9,3,"[14, 8]",2.0
10,Physical Education - Year 11,5,"[11, 60]",2.0
12,English - Year 9,2,"[42, 54]",3.0
15,Physical Education - Year 9,1,"[54, 57]",2.0
15,Physical Education - Year 9,4,"[24, 14]",2.0
21,Maths - Year 12,2,"[22, 23]",2.0
22,Science - Year 4,3,"[45, 33]",2.0
26,Maths - Year 4,4,"[53, 55]",2.0
27,History - Year 5,1,"[4, 34]",3.0
28,Maths - Year 8,4,"[41, 16]",3.0
28,Maths - Year 9,2,"[54, 7]",2.0
