Student,Mentor,Subject,Hours
73,18,Foreign Language - Year 6,1.0
28,9,Art - Year 4,1.0
69,32,English - Year 7,1.0
49,39,Foreign Language - Year 6,1.0
36,37,History - Year 8,3.0
9,1,Physical Education - Year 12,3.0
53,17,Maths - Year 12,1.0
47,8,Computer Science - Year 12,3.0
37,9,Art - Year 4,2.0
60,11,Foreign Language - Year 5,1.0
42,11,Foreign Language - Year 6,3.0
62,0,Foreign Language - Year 6,2.0
56,36,Literature - Year 9,3.0
66,7,English - Year 7,1.0
61,11,Foreign Language - Year 5,3.0
15,18,Foreign Language - Year 7,1.0
52,36,Foreign Language - Year 5,3.0
1,6,Geography - Year 4,2.0
31,32,English - Year 11,2.0
22,15,Physical Education - Year 11,1.0
25,32,English - Year 6,3.0
70,5,Economics - Year 11,1.0
41,1,Physical Education - Year 5,3.0
32,31,Physical Education - Year 7,1.0
1,9,Art - Year 4,1.0
39,16,Science - Year 10,1.0
2,29,Computer Science - Year 8,2.0
74,36,Literature - Year 9,1.0
8,9,Art - Year 4,3.0
77,0,Foreign Language - Year 7,2.0
50,17,Maths - Year 12,3.0
27,16,Science - Year 4,3.0
48,5,Economics - Year 11,3.0
17,27,History - Year 12,1.0
41,37,History - Year 5,1.0
54,36,Foreign Language - Year 7,3.0
3,29,Science - Year 4,3.0
50,35,Computer Science - Year 12,2.0
58,19,English - Year 11,3.0
79,34,Maths - Year 11,1.0
40,20,Geography - Year 4,3.0
24,3,Literature - Year 9,3.0
