Student,Mentor,Subject,Hours
6,36,Foreign Language - Year 6,2.0
0,9,Art - Year 4,3.0
18,37,History - Year 6,2.0
73,32,English - Year 8,2.0
63,9,Art - Year 4,3.0
68,11,Foreign Language - Year 5,1.0
53,1,Physical Education - Year 6,3.0
36,1,Physical Education - Year 8,3.0
51,17,Maths - Year 9,2.0
2,15,Physical Education - Year 5,1.0
63,19,English - Year 4,2.0
28,23,Physical Education - Year 6,2.0
16,4,Literature - Year 9,1.0
77,21,Maths - Year 8,2.0
55,0,Foreign Language - Year 6,3.0
37,7,English - Year 12,1.0
63,16,Science - Year 4,1.0
70,36,Foreign Language - Year 7,3.0
32,9,Art - Year 4,2.0
77,32,English - Year 8,3.0
9,29,Economics - Year 11,3.0
54,37,History - Year 9,2.0
63,17,Maths - Year 4,2.0
33,34,Maths - Year 9,1.0
48,22,Maths - Year 9,1.0
12,18,Economics - Year 11,1.0
40,31,Physical Education - Year 6,2.0
22,11,Foreign Language - Year 7,1.0
34,29,Science - Year 4,2.0
74,11,Foreign Language - Year 7,2.0
56,5,Economics - Year 11,3.0
11,36,Foreign Language - Year 6,3.0
42,16,Science - Year 4,3.0
5,18,Economics - Year 11,1.0
47,39,Foreign Language - Year 7,1.0
4,0,Foreign Language - Year 6,1.0
40,11,Foreign Language - Year 6,3.0
28,19,English - Year 6,1.0
64,0,Foreign Language - Year 5,2.0
7,32,English - Year 7,1.0
78,0,Foreign Language - Year 7,2.0
2,36,Foreign Language - Year 5,2.0
21,5,Economics - Year 11,1.0
